fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0013333333333333333,1.0
0.0,0.0026666666666666666,0.9966666666666668
0.0,0.004,0.99
0.0,0.009333333333333334,0.9766666666666668
0.0,0.012666666666666666,0.9733333333333334
0.0,0.015333333333333332,0.9666666666666668
0.0,0.016,0.9633333333333334
0.0,0.017333333333333333,0.96
0.0,0.018,0.9566666666666668
0.0,0.019333333333333334,0.95
0.0,0.02,0.9466666666666668
0.0,0.025333333333333333,0.9333333333333332
0.0,0.028,0.93
0.0,0.030666666666666665,0.91
0.0013333333333333333,0.03133333333333333,0.8866666666666667
0.0013333333333333333,0.032,0.8733333333333333
0.0013333333333333333,0.036,0.86
0.0013333333333333333,0.037333333333333336,0.84
0.002,0.038,0.8366666666666667
0.002,0.03866666666666667,0.83
0.002,0.04,0.8266666666666667
0.0026666666666666666,0.042,0.8233333333333334
0.0026666666666666666,0.04533333333333334,0.8
0.0026666666666666666,0.04933333333333333,0.7966666666666666
0.0026666666666666666,0.050666666666666665,0.7933333333333333
0.0026666666666666666,0.056,0.7866666666666666
0.0026666666666666666,0.062,0.7733333333333333
0.0026666666666666666,0.06533333333333333,0.77
0.0026666666666666666,0.07,0.7666666666666667
0.0026666666666666666,0.076,0.7633333333333333
0.0026666666666666666,0.084,0.76
0.0026666666666666666,0.08733333333333333,0.7566666666666667
0.0026666666666666666,0.09266666666666666,0.7533333333333333
0.0026666666666666666,0.102,0.7466666666666667
0.0026666666666666666,0.11533333333333333,0.74
0.0033333333333333335,0.12466666666666666,0.7366666666666667
0.0033333333333333335,0.132,0.7333333333333333
0.004,0.142,0.73
0.004,0.154,0.7266666666666667
0.004,0.16466666666666666,0.7233333333333334
0.004,0.17066666666666666,0.72
0.004,0.182,0.7166666666666667
0.004666666666666667,0.19,0.7133333333333334
0.004666666666666667,0.19866666666666666,0.71
0.004666666666666667,0.20933333333333334,0.7066666666666667
0.004666666666666667,0.22066666666666668,0.7033333333333334
0.004666666666666667,0.22866666666666666,0.7
0.004666666666666667,0.23333333333333334,0.6966666666666667
0.005333333333333333,0.24533333333333332,0.6933333333333334
0.005333333333333333,0.25733333333333336,0.69
0.005333333333333333,0.262,0.6866666666666666
0.005333333333333333,0.27,0.6833333333333333
0.005333333333333333,0.276,0.68
0.006,0.2833333333333333,0.6766666666666666
0.006,0.292,0.6733333333333333
0.006,0.296,0.67
0.006,0.2986666666666667,0.6666666666666666
0.006,0.304,0.6633333333333333
0.006,0.30666666666666664,0.66
0.006,0.31,0.6566666666666666
0.006,0.31533333333333335,0.65
0.006,0.32133333333333336,0.6466666666666666
0.006,0.326,0.6433333333333333
0.006666666666666667,0.32866666666666666,0.64
0.006666666666666667,0.3333333333333333,0.6366666666666667
0.007333333333333333,0.3433333333333333,0.6333333333333333
0.007333333333333333,0.3506666666666667,0.63
0.008,0.35933333333333334,0.6266666666666667
0.008,0.36133333333333334,0.6233333333333333
0.008,0.36733333333333335,0.62
0.009333333333333334,0.37466666666666665,0.6166666666666667
0.009333333333333334,0.38,0.6133333333333333
0.009333333333333334,0.38333333333333336,0.61
0.009333333333333334,0.386,0.6066666666666667
0.009333333333333334,0.388,0.6033333333333334
0.009333333333333334,0.39266666666666666,0.6
0.009333333333333334,0.3993333333333333,0.5966666666666667
0.009333333333333334,0.4093333333333333,0.5933333333333334
0.009333333333333334,0.4166666666666667,0.59
0.009333333333333334,0.428,0.5866666666666667
