,precision,recall,f1-score,support
real,0.968503937007874,0.984,0.9761904761904762,1500.0
fake,0.983739837398374,0.968,0.9758064516129032,1500.0
accuracy,0.976,0.976,0.976,0.976
macro avg,0.976121887203124,0.976,0.9759984639016897,3000.0
weighted avg,0.9761218872031241,0.976,0.9759984639016897,3000.0
