group,count,mean_score_fake,median_score_fake,mode_score_fake_rounded_4dp,std_score_fake,min_score_fake,max_score_fake
all,3000,0.3205511111111111,0.48,0.0,0.31527743210158526,0.0,1.0
true_real,1500,0.022188888888888883,0.0,0.0,0.10010372588498406,0.0,0.8866666666666667
true_fake,1500,0.6189133333333333,0.5733333333333334,"0.5567, 0.56",0.10337538098798525,0.1966666666666666,1.0
