model,accuracy,precision_fake,recall_fake,f1_fake
RandomForest_MFCC,0.976,0.983739837398374,0.968,0.9758064516129032
CNN_LogMel,0.992,0.9893899204244032,0.9946666666666667,0.9920212765957447
