,precision,recall,f1-score,support
real,0.9946380697050938,0.9893333333333333,0.9919786096256684,1500.0
fake,0.9893899204244032,0.9946666666666667,0.9920212765957447,1500.0
accuracy,0.992,0.992,0.992,0.992
macro avg,0.9920139950647485,0.992,0.9919999431107065,3000.0
weighted avg,0.9920139950647485,0.992,0.9919999431107065,3000.0
