language,n_samples,accuracy,precision_fake,recall_fake,f1_fake,roc_auc
kannada,1000,0.987,0.980276134122288,0.994,0.9870903674280039,0.990548
malayalam,1000,0.998,0.9960159362549801,1.0,0.998003992015968,0.999976
tamil,1000,0.991,0.9919839679358717,0.99,0.990990990990991,0.99972
