fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0006666666666666666,0.9999960660934448
0.0,0.004666666666666667,0.9999914169311525
0.0,0.006,0.999990463256836
0.0,0.019333333333333334,0.9999761581420898
0.0,0.020666666666666667,0.9999758005142212
0.0,0.03333333333333333,0.9999639987945556
0.0,0.034666666666666665,0.9999631643295288
0.0,0.03933333333333333,0.99995756149292
0.0,0.04066666666666666,0.9999567270278932
0.0,0.05333333333333334,0.999941110610962
0.0,0.05466666666666667,0.9999405145645142
0.0,0.06333333333333334,0.9999345541000366
0.0,0.06466666666666666,0.9999338388442992
0.0,0.068,0.9999312162399292
0.0006666666666666666,0.068,0.9999308586120604
0.0006666666666666666,0.06933333333333333,0.999930739402771
0.0006666666666666666,0.07533333333333334,0.9999250173568726
0.0006666666666666666,0.07666666666666666,0.9999241828918456
0.0013333333333333333,0.07666666666666666,0.9999237060546876
0.0013333333333333333,0.124,0.999873161315918
0.0013333333333333333,0.12533333333333332,0.9998729228973388
0.0013333333333333333,0.12733333333333333,0.9998714923858644
0.0013333333333333333,0.12933333333333333,0.9998698234558104
0.0013333333333333333,0.13266666666666665,0.999866247177124
0.0013333333333333333,0.134,0.9998658895492554
0.0013333333333333333,0.144,0.9998539686203004
0.0013333333333333333,0.14533333333333334,0.9998536109924316
0.0013333333333333333,0.14933333333333335,0.9998470544815063
0.0013333333333333333,0.15066666666666667,0.9998468160629272
0.0013333333333333333,0.152,0.9998447895050048
0.0013333333333333333,0.15333333333333332,0.9998431205749512
0.0013333333333333333,0.16,0.9998328685760498
0.0013333333333333333,0.16133333333333333,0.999832272529602
0.0013333333333333333,0.16333333333333333,0.9998290538787842
0.0013333333333333333,0.16466666666666666,0.9998288154602052
0.0013333333333333333,0.17733333333333334,0.9998100399971008
0.0013333333333333333,0.17866666666666667,0.9998096823692322
0.0013333333333333333,0.17933333333333334,0.9998094439506532
0.0013333333333333333,0.18066666666666667,0.9998089671134948
0.0013333333333333333,0.182,0.9998063445091248
0.0013333333333333333,0.18333333333333332,0.9998058676719666
0.0013333333333333333,0.216,0.9997556805610656
0.0013333333333333333,0.21866666666666668,0.9997538924217224
